recording date,video #,Total_sperm,motile ,Motility %,lizid#,incubation_temperature,Day
6/28/2021,828,49,44,89.8,1,33,0
6/28/2021,832,49,0,0,1,50,0
6/28/2021,841,58,55,94.8,1,41,0
6/28/2021,842,61,0,0,1,48,0
6/28/2021,860,71,65,91.5,1,38,0
6/28/2021,866,62,59,95.2,1,43,0
6/28/2021,871,50,0,0,1,46,0
6/28/2021,827,68,49,72.1,2,41,0
6/28/2021,846,58,0,0,2,48,0
6/28/2021,851,51,49,96.1,2,38,0
6/28/2021,855,66,38,57.6,2,43,0
6/28/2021,862,62,56,90.3,2,33,0
6/28/2021,868,65,0,0,2,46,0
6/28/2021,873,52,0,0,2,50,0
6/29/2021,883,69,28,40.6,8,43,0
6/29/2021,908,47,34,72.3,8,38,0
6/29/2021,919,51,0,0,8,50,0
6/29/2021,920,56,50,89.3,8,33,0
6/29/2021,921,50,36,72,8,41,0
6/29/2021,925,48,0,0,8,46,0
6/29/2021,939,53,0,0,8,48,0
6/29/2021,884,56,0,0,9,48,0
6/29/2021,905,58,55,94.8,9,33,0
6/29/2021,911,55,0,0,9,50,0
6/29/2021,913,57,56,98.2,9,41,0
6/29/2021,926,54,51,94.4,9,38,0
6/29/2021,928,41,38,92.7,9,43,0
6/29/2021,930,54,1,1.9,9,46,0
6/29/2021,877,104,85,81.7,10,38,0
6/29/2021,886,52,0,0,10,50,0
6/29/2021,888,80,1,1.3,10,46,0
6/29/2021,918,51,44,86.3,10,41,0
6/29/2021,922,53,0,0,10,48,0
6/29/2021,924,54,51,94.4,10,33,0
6/29/2021,927,55,18,32.7,10,43,0
6/29/2021,901,70,51,72.9,11,43,0
6/29/2021,880,72,62,86.1,11,41,0
6/29/2021,894,57,53,93,11,38,0
6/29/2021,903,61,0,0,11,48,0
6/29/2021,906,53,49,92.5,11,33,0
6/29/2021,914,58,0,0,11,46,0
6/29/2021,923,52,0,0,11,50,0
6/29/2021,881,45,0,0,12,50,0
6/29/2021,885,56,51,91.1,12,38,0
6/29/2021,890,61,0,0,12,48,0
6/29/2021,893,62,53,85.5,12,33,0
6/29/2021,899,54,48,88.9,12,41,0
6/29/2021,907,55,45,81.8,12,43,0
6/29/2021,938,49,0,0,12,46,0
6/29/2021,882,65,0,0,13,46,0
6/29/2021,891,60,55,91.7,13,38,0
6/29/2021,895,56,36,64.3,13,43,0
6/29/2021,897,71,65,91.5,13,41,0
6/29/2021,898,55,0,0,13,50,0
6/29/2021,909,57,47,82.5,13,33,0
6/29/2021,936,52,0,0,13,48,0
6/29/2021,904,67,36,53.7,14,43,0
6/29/2021,879,76,72,94.7,14,33,0
6/29/2021,889,53,51,96.2,14,38,0
6/29/2021,935,50,0,0,14,50,0
6/29/2021,937,51,0,0,14,48,0
6/29/2021,940,52,0,0,14,46,0
6/29/2021,912,42,17,40.5,15,38,0
6/29/2021,916,50,20,40,15,43,0
6/29/2021,917,50,0,0,15,48,0
6/29/2021,929,51,31,60.8,15,33,0
6/29/2021,932,50,0,0,15,46,0
6/29/2021,933,48,0,0,15,50,0
6/29/2021,941,50,24,48,15,41,0
6/29/2021,951,56,40,71.4,16,43,0
6/29/2021,963,51,0,0,16,48,0
6/29/2021,979,52,0,0,16,50,0
6/29/2021,982,57,38,66.7,16,38,0
6/29/2021,984,54,0,0,16,46,0
6/29/2021,987,50,38,76,16,41,0
6/29/2021,990,52,44,84.6,16,33,0
6/29/2021,946,52,8,85,17,33,0
6/29/2021,948,51,0,0,17,50,0
6/29/2021,957,53,0,0,17,46,0
6/29/2021,967,52,48,92.3,17,41,0
6/29/2021,971,52,46,88.5,17,38,0
6/29/2021,974,53,0,0,17,48,0
6/29/2021,993,54,44,81.5,17,43,0
6/29/2021,983,50,29,58,18,43,0
6/29/2021,950,51,46,90.2,18,41,0
6/29/2021,952,52,0,0,18,48,0
6/29/2021,969,53,0,0,18,46,0
6/29/2021,970,51,0,0,18,50,0
6/29/2021,975,51,44,86.3,18,38,0
6/29/2021,994,52,51,98.1,18,33,0
6/29/2021,988,73,55,75.3,19,41,0
6/29/2021,956,78,55,70.5,19,33,0
6/29/2021,945,46,27,58.7,19,43,0
6/29/2021,958,51,46,90.2,19,38,0
6/29/2021,964,50,0,0,19,50,0
6/29/2021,980,50,0,0,19,48,0
6/29/2021,981,51,0,0,19,46,0
6/29/2021,955,52,0,0,20,46,0
6/29/2021,961,52,45,86.5,20,41,0
6/29/2021,976,52,45,86.5,20,43,0
6/29/2021,977,52,0,0,20,50,0
6/29/2021,978,50,0,0,20,48,0
6/29/2021,986,50,44,88,20,38,0
6/29/2021,995,52,49,94.2,20,33,0
6/29/2021,965,53,29,54.7,21,43,0
6/29/2021,947,53,50,94.3,21,41,0
6/29/2021,954,57,52,91.2,21,38,0
6/29/2021,959,52,0,0,21,50,0
6/29/2021,968,51,44,86.3,21,33,0
6/29/2021,972,50,0,0,21,48,0
6/29/2021,998,51,0,0,21,46,0
6/29/2021,992,85,31,36.5,22,43,0
6/29/2021,944,45,0,0,22,48,0
6/29/2021,949,52,44,84.6,22,33,0
6/29/2021,962,51,34,66.7,22,38,0
6/29/2021,973,50,0,0,22,50,0
6/29/2021,989,53,0,0,22,46,0
6/30/2021,1019,79,34,43,23,43,0
6/30/2021,1010,77,59,76.6,23,38,0
6/30/2021,1031,64,50,78.1,23,41,0
6/30/2021,999,54,41,75.9,23,33,0
6/30/2021,1002,45,0,0,23,50,0
6/30/2021,1044,37,0,0,23,48,0
6/30/2021,1050,48,2,4.2,23,46,0
6/30/2021,1008,52,5,9.6,24,46,0
6/30/2021,1027,44,36,81.8,24,41,0
6/30/2021,1033,42,0,0,24,48,0
6/30/2021,1037,45,42,93.3,24,43,0
6/30/2021,1056,45,43,95.6,24,33,0
6/30/2021,1058,42,0,0,24,48,0
6/30/2021,1061,42,36,85.7,24,38,0
6/30/2021,1066,50,0,0,24,50,0
6/30/2021,1057,69,53,76.8,25,33,0
6/30/2021,1059,57,33,57.9,25,43,0
6/30/2021,1011,37,33,89.2,25,41,0
6/30/2021,1013,44,0,0,25,50,0
6/30/2021,1030,44,0,0,25,48,0
6/30/2021,1040,46,42,91.3,25,38,0
6/30/2021,1041,30,0,0,25,46,0
6/30/2021,1000,40,18,45,26,41,0
6/30/2021,1021,46,27,58.7,26,33,0
6/30/2021,1022,32,0,0,26,46,0
6/30/2021,1036,56,29,57.6,26,38,0
6/30/2021,1046,32,0,0,26,48,0
6/30/2021,1052,41,0,0,26,50,0
6/30/2021,1063,41,21,51.2,26,43,0
6/30/2021,1048,62,42,67.7,27,41,0
6/30/2021,1006,55,43,78.2,27,38,0
6/30/2021,1029,82,37,45.1,27,43,0
6/30/2021,1001,44,2,4.5,27,46,0
6/30/2021,1017,30,25,83.3,27,33,0
6/30/2021,1023,29,0,0,27,50,0
6/30/2021,1055,53,0,0,27,48,0
6/30/2021,1038,76,36,47.4,28,41,0
6/30/2021,1065,74,55,74.3,28,43,0
6/30/2021,1009,43,0,0,28,50,0
6/30/2021,1016,35,0,0,28,48,0
6/30/2021,1018,46,6,13,28,46,0
6/30/2021,1051,40,38,95,28,38,0
6/30/2021,1060,42,41,97.6,28,33,0
6/30/2021,1003,50,45,90,29,41,0
6/30/2021,1014,40,36,90,29,33,0
6/30/2021,1028,44,0,0,29,48,0
6/30/2021,1035,42,38,90.5,29,43,0
6/30/2021,1049,44,42,95.5,29,38,0
6/30/2021,1054,43,0,0,29,50,0
6/30/2021,1062,43,0,0,29,46,0
6/30/2021,1064,67,21,31.3,30,43,0
6/30/2021,1004,57,4,7,30,46,0
6/30/2021,1012,55,48,87.3,30,38,0
6/30/2021,1020,50,0,0,30,50,0
6/30/2021,1032,38,24,63.2,30,41,0
6/30/2021,1039,42,0,0,30,48,0
6/30/2021,1047,45,37,82.2,30,33,0
7/1/2021,1105,71,58,81.7,31,43,0
7/1/2021,1067,56,54,96.4,31,33,0
7/1/2021,1082,57,53,93,31,38,0
7/1/2021,1085,52,0,0,31,50,0
7/1/2021,1088,53,5,9.4,31,46,0
7/1/2021,1094,32,0,0,31,48,0
7/1/2021,1106,58,51,87.9,31,41,0
7/1/2021,1075,57,49,86,32,43,0
7/1/2021,1084,65,60,92.3,32,38,0
7/1/2021,1089,60,55,91.7,32,41,0
7/1/2021,1101,38,0,0,32,46,0
7/1/2021,1102,50,0,0,32,48,0
7/1/2021,1107,46,0,0,32,50,0
7/1/2021,1108,75,69,92,32,33,0
7/1/2021,1070,63,1,1.6,33,46,0
7/1/2021,1077,48,0,0,33,48,0
7/1/2021,1079,62,59,95.2,33,33,0
7/1/2021,1081,69,66,95.7,33,43,0
7/1/2021,1087,61,45,73.8,33,38,0
7/1/2021,1090,49,0,0,33,50,0
7/1/2021,1103,54,47,87,33,41,0
7/1/2021,1068,105,0,0,34,50,0
7/1/2021,1072,86,75,87.2,34,41,0
7/1/2021,1073,62,45,72.6,34,43,0
7/1/2021,1076,64,0,0,34,46,0
7/1/2021,1091,71,0,0,34,48,0
7/1/2021,1109,71,67,94.4,34,38,0
7/1/2021,1110,74,57,77,34,33,0
7/1/2021,1078,50,1,2,35,46,0
7/1/2021,1071,71,68,95.8,35,38,0
7/1/2021,1074,51,43,84.3,35,43,0
7/1/2021,1080,55,0,0,35,50,0
7/1/2021,1086,53,52,98.1,35,33,0
7/1/2021,1100,62,0,0,35,48,0
7/1/2021,1104,49,46,93.9,35,41,0
7/2/2021,1132,65,46,70.8,36,43,0
7/2/2021,1113,53,38,71.7,36,33,0
7/2/2021,1122,50,0,0,36,46,0
7/2/2021,1125,50,0,0,36,48,0
